day,day_range,weather,day_of_week,celebration,season
2015-02-22,600,Moderate or heavy rain with thunder,1,0,Winter
2015-02-22,1200,Partly cloudy,1,0,Winter
2015-02-22,1800,Partly cloudy,1,0,Winter
2015-02-23,0,Clear,2,0,Winter
2015-02-23,600,Clear,2,0,Winter
2015-02-23,1200,Sunny,2,0,Winter
2015-02-23,1800,Cloudy,2,0,Winter
2015-02-24,0,Partly cloudy,3,0,Winter
2015-02-24,600,Light drizzle,3,0,Winter
2015-02-24,1200,Light drizzle,3,0,Winter
2015-02-24,1800,Light rain,3,0,Winter
2015-02-25,0,Patchy rain possible,4,0,Winter
2015-02-25,600,Partly cloudy,4,0,Winter
2015-02-25,1200,Patchy light drizzle,4,0,Winter
2015-02-25,1800,Cloudy,4,0,Winter
2015-02-26,0,Partly cloudy,5,0,Winter
2015-02-26,600,Partly cloudy,5,0,Winter
2015-02-26,1200,Partly cloudy,5,0,Winter
2015-02-26,1800,Sunny,5,0,Winter
2015-02-27,0,Patchy light drizzle,6,0,Winter
2015-02-27,600,Clear,6,0,Winter
2015-02-27,1200,Sunny,6,0,Winter
2015-02-27,1800,Sunny,6,0,Winter
2015-02-28,0,Partly cloudy,7,0,Winter
2015-02-28,600,Partly cloudy,7,0,Winter
2015-02-28,1200,Partly cloudy,7,0,Winter
2015-02-28,1800,Sunny,7,0,Winter
2015-03-01,0,Clear,1,0,Winter
2015-03-01,600,Clear,1,0,Winter
2015-03-01,1200,Light rain shower,1,0,Winter
2015-03-01,1800,Light drizzle,1,0,Winter
2015-03-02,0,Light drizzle,2,0,Winter
2015-03-02,600,Patchy rain possible,2,0,Winter
2015-03-02,1200,Light rain,2,0,Winter
2015-03-02,1800,Cloudy,2,0,Winter
2015-03-03,0,Clear,3,0,Winter
2015-03-03,600,Clear,3,0,Winter
2015-03-03,1200,Sunny,3,0,Winter
2015-03-03,1800,Sunny,3,0,Winter
2015-03-04,0,Clear,4,0,Winter
2015-03-04,600,Cloudy,4,0,Winter
2015-03-04,1200,Light rain shower,4,0,Winter
2015-03-04,1800,Moderate rain,4,0,Winter
2015-03-05,0,Moderate rain,5,0,Winter
2015-03-05,600,Patchy rain possible,5,0,Winter
2015-03-05,1200,Partly cloudy,5,0,Winter
