day,day_range,weather
18/04/2015,0,Patchy rain possible
18/04/2015,600,Light rain shower
18/04/2015,1200,Patchy rain possible
18/04/2015,1800,Sunny
19/04/2015,0,Partly cloudy
19/04/2015,600,Partly cloudy
19/04/2015,1200,Cloudy
19/04/2015,1800,Partly cloudy
20/04/2015,0,Partly cloudy
20/04/2015,600,Clear
20/04/2015,1200,Sunny
20/04/2015,1800,Sunny
21/04/2015,0,Clear
21/04/2015,600,Clear
21/04/2015,1200,Sunny
21/04/2015,1800,Sunny
22/04/2015,0,Clear
22/04/2015,600,Clear
22/04/2015,1200,Sunny
22/04/2015,1800,Sunny
23/04/2015,0,Clear
23/04/2015,600,Cloudy
23/04/2015,1200,Sunny
23/04/2015,1800,Sunny
24/04/2015,0,Partly cloudy
24/04/2015,600,Partly cloudy
24/04/2015,1200,Sunny
24/04/2015,1800,Sunny
25/04/2015,0,Clear
25/04/2015,600,Clear
25/04/2015,1200,Partly cloudy
25/04/2015,1800,Sunny
26/04/2015,0,Clear
26/04/2015,600,Cloudy
26/04/2015,1200,Light rain shower
26/04/2015,1800,Patchy rain possible
27/04/2015,0,Overcast
27/04/2015,600,Light rain shower
27/04/2015,1200,Moderate or heavy rain shower
27/04/2015,1800,Moderate or heavy rain shower
28/04/2015,0,Light rain
28/04/2015,600,Patchy light rain
28/04/2015,1200,Patchy light drizzle
28/04/2015,1800,Patchy rain possible
29/04/2015,0,Patchy light drizzle
29/04/2015,600,Partly cloudy
29/04/2015,1200,Sunny
29/04/2015,1800,Patchy rain possible
30/04/2015,0,Overcast
30/04/2015,600,Light rain shower
30/04/2015,1200,Patchy rain possible
30/04/2015,1800,Sunny
01/05/2015,0,Partly cloudy
01/05/2015,600,Patchy rain possible
01/05/2015,1200,Partly cloudy
01/05/2015,1800,Partly cloudy
02/05/2015,0,Light drizzle
02/05/2015,600,Light drizzle
02/05/2015,1200,Light rain shower
02/05/2015,1800,Sunny
03/05/2015,0,Cloudy
03/05/2015,600,Cloudy
03/05/2015,1200,Partly cloudy
03/05/2015,1800,Sunny
04/05/2015,0,Clear
04/05/2015,600,Clear
04/05/2015,1200,Partly cloudy
04/05/2015,1800,Sunny
05/05/2015,0,Partly cloudy
05/05/2015,600,Clear
05/05/2015,1200,Partly cloudy
05/05/2015,1800,Sunny
06/05/2015,0,Clear
06/05/2015,600,Partly cloudy
06/05/2015,1200,Partly cloudy
06/05/2015,1800,Sunny
07/05/2015,0,Clear
07/05/2015,600,Clear
07/05/2015,1200,Cloudy
07/05/2015,1800,Sunny
08/05/2015,0,Clear
08/05/2015,600,Clear
08/05/2015,1200,Partly cloudy
08/05/2015,1800,Sunny
09/05/2015,0,Clear
09/05/2015,600,Clear
09/05/2015,1200,Sunny
09/05/2015,1800,Sunny
10/05/2015,0,Clear
10/05/2015,600,Clear
10/05/2015,1200,Sunny
10/05/2015,1800,Sunny
11/05/2015,0,Clear
11/05/2015,600,Clear
11/05/2015,1200,Sunny
11/05/2015,1800,Sunny
12/05/2015,0,Clear
12/05/2015,600,Clear
12/05/2015,1200,Sunny
12/05/2015,1800,Sunny
13/05/2015,0,Clear
13/05/2015,600,Clear
13/05/2015,1200,Partly cloudy
13/05/2015,1800,Sunny
14/05/2015,0,Clear
14/05/2015,600,Clear
14/05/2015,1200,Sunny
14/05/2015,1800,Sunny
15/05/2015,0,Patchy rain possible
15/05/2015,600,Patchy rain possible
15/05/2015,1200,Light rain shower
15/05/2015,1800,Light rain shower
16/05/2015,0,Partly cloudy
16/05/2015,600,Overcast
16/05/2015,1200,Thundery outbreaks possible
16/05/2015,1800,Moderate or heavy rain shower
17/05/2015,0,Clear
17/05/2015,600,Clear
17/05/2015,1200,Sunny
17/05/2015,1800,Sunny
18/05/2015,0,Clear
18/05/2015,600,Clear
18/05/2015,1200,Sunny
18/05/2015,1800,Sunny
19/05/2015,0,Clear
19/05/2015,600,Cloudy
19/05/2015,1200,Sunny
19/05/2015,1800,Partly cloudy
20/05/2015,0,Clear
20/05/2015,600,Cloudy
20/05/2015,1200,Patchy rain possible
20/05/2015,1800,Sunny
21/05/2015,0,Clear
21/05/2015,600,Clear
21/05/2015,1200,Sunny
21/05/2015,1800,Sunny
22/05/2015,0,Patchy rain possible
22/05/2015,600,Moderate rain
22/05/2015,1200,Patchy light rain
22/05/2015,1800,Patchy light drizzle
23/05/2015,0,Patchy rain possible
23/05/2015,600,Patchy light drizzle
23/05/2015,1200,Patchy light drizzle
23/05/2015,1800,Patchy light drizzle
24/05/2015,0,Patchy rain possible
24/05/2015,600,Partly cloudy
24/05/2015,1200,Partly cloudy
24/05/2015,1800,Sunny
25/05/2015,0,Clear
25/05/2015,600,Clear
25/05/2015,1200,Sunny
25/05/2015,1800,Sunny
26/05/2015,0,Clear
26/05/2015,600,Clear
26/05/2015,1200,Sunny
26/05/2015,1800,Patchy rain possible
27/05/2015,0,Patchy rain possible
27/05/2015,600,Cloudy
27/05/2015,1200,Partly cloudy
27/05/2015,1800,Sunny
28/05/2015,0,Clear
28/05/2015,600,Clear
28/05/2015,1200,Sunny
28/05/2015,1800,Sunny
29/05/2015,0,Clear
29/05/2015,600,Clear
29/05/2015,1200,Sunny
29/05/2015,1800,Sunny
30/05/2015,0,Clear
30/05/2015,600,Partly cloudy
30/05/2015,1200,Sunny
30/05/2015,1800,Sunny
31/05/2015,0,Clear
31/05/2015,600,Clear
31/05/2015,1200,Sunny
31/05/2015,1800,Sunny
01/06/2015,0,Clear
01/06/2015,600,Clear
01/06/2015,1200,Sunny
01/06/2015,1800,Sunny
02/06/2015,0,Clear
02/06/2015,600,Clear
02/06/2015,1200,Sunny
02/06/2015,1800,Sunny
03/06/2015,0,Clear
03/06/2015,600,Clear
03/06/2015,1200,Sunny
03/06/2015,1800,Sunny
04/06/2015,0,Clear
04/06/2015,600,Clear
04/06/2015,1200,Sunny
04/06/2015,1800,Sunny
05/06/2015,0,Clear
05/06/2015,600,Clear
05/06/2015,1200,Sunny
05/06/2015,1800,Sunny
06/06/2015,0,Clear
06/06/2015,600,Clear
06/06/2015,1200,Sunny
06/06/2015,1800,Sunny
07/06/2015,0,Clear
07/06/2015,600,Clear
07/06/2015,1200,Sunny
07/06/2015,1800,Sunny
08/06/2015,0,Clear
08/06/2015,600,Clear
08/06/2015,1200,Sunny
08/06/2015,1800,Sunny
09/06/2015,0,Clear
09/06/2015,600,Clear
09/06/2015,1200,Sunny
09/06/2015,1800,Sunny
10/06/2015,0,Clear
10/06/2015,600,Clear
10/06/2015,1200,Sunny
10/06/2015,1800,Sunny
11/06/2015,0,Clear
11/06/2015,600,Clear
11/06/2015,1200,Sunny
11/06/2015,1800,Sunny
12/06/2015,0,Clear
12/06/2015,600,Clear
12/06/2015,1200,Sunny
12/06/2015,1800,Partly cloudy
13/06/2015,0,Patchy rain possible
13/06/2015,600,Clear
13/06/2015,1200,Sunny
13/06/2015,1800,Sunny
14/06/2015,0,Clear
14/06/2015,600,Partly cloudy
14/06/2015,1200,Patchy rain possible
14/06/2015,1800,Patchy rain possible
15/06/2015,0,Partly cloudy
15/06/2015,600,Patchy rain possible
15/06/2015,1200,Sunny
15/06/2015,1800,Sunny
16/06/2015,0,Patchy rain possible
16/06/2015,600,Partly cloudy
16/06/2015,1200,Sunny
16/06/2015,1800,Sunny
17/06/2015,0,Clear
17/06/2015,600,Clear
17/06/2015,1200,Light rain shower
17/06/2015,1800,Sunny
18/06/2015,0,Clear
18/06/2015,600,Clear
18/06/2015,1200,Sunny
18/06/2015,1800,Sunny
19/06/2015,0,Clear
19/06/2015,600,Clear
19/06/2015,1200,Sunny
19/06/2015,1800,Sunny
20/06/2015,0,Clear
20/06/2015,600,Clear
20/06/2015,1200,Sunny
20/06/2015,1800,Patchy rain possible
21/06/2015,0,Clear
21/06/2015,600,Clear
21/06/2015,1200,Sunny
21/06/2015,1800,Sunny
22/06/2015,0,Clear
22/06/2015,600,Clear
22/06/2015,1200,Sunny
22/06/2015,1800,Sunny
23/06/2015,0,Patchy rain possible
23/06/2015,600,Partly cloudy
23/06/2015,1200,Partly cloudy
23/06/2015,1800,Partly cloudy
24/06/2015,0,Clear
24/06/2015,600,Partly cloudy
24/06/2015,1200,Sunny
24/06/2015,1800,Sunny
25/06/2015,0,Clear
25/06/2015,600,Clear
25/06/2015,1200,Sunny
25/06/2015,1800,Sunny
26/06/2015,0,Clear
26/06/2015,600,Clear
26/06/2015,1200,Sunny
26/06/2015,1800,Sunny
27/06/2015,0,Clear
27/06/2015,600,Clear
27/06/2015,1200,Sunny
27/06/2015,1800,Sunny
28/06/2015,0,Clear
28/06/2015,600,Clear
28/06/2015,1200,Sunny
28/06/2015,1800,Sunny
29/06/2015,0,Clear
29/06/2015,600,Clear
29/06/2015,1200,Sunny
29/06/2015,1800,Sunny
30/06/2015,0,Clear
30/06/2015,600,Clear
30/06/2015,1200,Sunny
30/06/2015,1800,Sunny
01/07/2015,0,Clear
01/07/2015,600,Clear
01/07/2015,1200,Sunny
01/07/2015,1800,Sunny
02/07/2015,0,Clear
02/07/2015,600,Clear
